age,action,adventure,animation,childrens,comedy,crime,documentary,drama,fantasy,film_noir,horror,musical,mystery,romance,scifi,thriller,unknown,war,western
58,9.908,5.693,3.337,2.802,19.907,4.986,1.621,27.018,0.544,3.933,4.129,3.879,5.339,8.894,7.885,10.804,2.066,6.079,1.502
59,13.188,4.081,2.934,2.652,17.735,4.672,0.578,23.919,2.015,4.221,3.338,4.165,4.166,7.596,2.111,9.308,2.066,3.989,0.686
60,10.423,5.420,2.349,3.179,17.666,3.936,1.147,18.193,2.494,2.792,4.679,3.644,3.752,7.278,7.381,8.511,2.066,3.545,1.114
61,12.969,6.140,2.531,3.691,17.124,4.816,0.578,22.900,1.763,2.820,3.770,3.437,4.748,7.576,7.503,9.763,2.066,3.550,1.411
62,5.344,0.149,0.535,3.062,11.670,4.414,1.058,15.627,2.015,0.485,4.047,2.163,2.596,6.218,7.052,5.234,2.066,2.617,1.085
63,11.833,4.517,2.934,2.050,18.693,1.999,1.058,20.303,2.015,2.353,4.920,1.662,2.596,7.075,6.340,7.950,2.066,2.029,1.085
64,4.799,4.081,2.052,5.059,14.973,2.482,0.235,16.933,3.591,1.419,3.338,3.038,0.982,5.570,8.454,6.572,2.066,3.989,1.085
65,10.078,4.639,2.027,3.466,16.909,3.110,1.058,19.472,3.591,2.976,2.548,4.594,2.886,7.927,7.067,7.898,2.066,1.993,0.686
66,5.344,4.408,1.120,5.059,13.256,4.414,1.058,13.871,6.029,2.042,0.235,3.164,3.062,3.949,6.551,5.234,2.066,1.245,1.085
68,6.889,4.081,0.513,0.546,15.545,3.896,0.995,17.363,2.372,2.353,3.338,0.160,3.350,7.532,6.692,6.642,2.066,1.793,1.411
69,12.118,6.106,2.052,2.050,15.721,2.602,0.578,19.367,2.015,2.042,4.047,3.498,4.210,7.943,4.754,10.698,2.066,2.617,0.686
70,10.583,5.063,4.143,2.050,14.943,2.904,1.058,22.232,3.591,2.353,4.920,3.831,2.482,7.144,6.868,7.731,2.066,3.566,2.863
73,14.614,7.638,2.934,4.056,19.860,4.414,1.058,20.173,2.015,2.353,4.047,4.165,5.107,9.352,9.247,10.395,2.066,5.361,2.863
